date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:33	66786/66786	---M-Z	200	added ('OK')	text/html	etag:W/%2265ec598d4da796b5509339269c95ffb9%22	https://members.emptyfaces.com/	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/members.emptyfaces.com/index.html	(from )
16:15:33	439/439	---M-Z	200	added ('OK')	text/plain	date:Sat,%2031%20May%202025%2016:05:47%20GMT	https://members.emptyfaces.com/robots.txt		(from )
16:15:33	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2031%20May%202025%2023:15:32%20GMT	http://static1.squarespace.com/static/59fac3b364b05ffdd0f5c696/t/5af12a7670a6ad991886271a/1525754488022/EmptyFaces.png?format=1500w	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/static1.squarespace.com/static/59fac3b364b05ffdd0f5c696/t/5af12a7670a6ad991886271a/1525754488022/EmptyFaces.026f7.delayed	(from https://members.emptyfaces.com/)
16:15:34	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://members.emptyfaces.com/)
16:15:35	18945/18945	---M--	200	added ('OK')	image/png	etag:CNuqop2NuesCEAE=	https://images.squarespace-cdn.com/content/59fac3b364b05ffdd0f5c696/1525754486698-2JP6BTEEZY1CHUF7G86B/EmptyFaces.png?content-type=image%2Fpng	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/images.squarespace-cdn.com/content/59fac3b364b05ffdd0f5c696/1525754486698-2JP6BTEEZY1CHUF7G86B/EmptyFaces5d45.png	(from https://members.emptyfaces.com/)
16:15:37	43535/43535	---M-Z	200	added ('OK')	text/javascript	etag:%221396dea3b0552550bc70fd432084e159%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-707bcde5a78e130f-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-707bcde5a78e130f-min.en-US.js	(from https://members.emptyfaces.com/)
16:15:38	89942/89942	---M-Z	200	added ('OK')	text/javascript	etag:%22bc3cebfe9389d0717ece70cb5d0f0df8%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-df5ccf33ff79f35b-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-df5ccf33ff79f35b-min.en-US.js	(from https://members.emptyfaces.com/)
16:15:40	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://members.emptyfaces.com/)
16:15:44	857850/857850	---M-Z	200	added ('OK')	text/javascript	etag:%2226d1235e5f963cac08ef23d92721328c%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-088ec0120fdbcfed-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-088ec0120fdbcfed-min.en-US.js	(from https://members.emptyfaces.com/)
16:15:51	246255/246255	---M-Z	200	added ('OK')	text/javascript	etag:%22d7acfe85de3cc869663d8ca43a3b5eff%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-54bab8bb8a15366b-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-54bab8bb8a15366b-min.en-US.js	(from https://members.emptyfaces.com/)
16:15:51	2301/2301	---M-Z	200	added ('OK')	text/css	etag:%22b5f378e035a9b605230d2dac87510ac3%22	http://assets.squarespace.com/universal/styles-compressed/user-account-core-eb63eb0b4f42a565-min.en-US.css	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/styles-compressed/user-account-core-eb63eb0b4f42a565-min.en-US.css	(from https://members.emptyfaces.com/)
16:15:53	30771/30771	---M-Z	200	added ('OK')	text/javascript	etag:%2258b86659af75d2576ba58bb533a64ce9%22	http://assets.squarespace.com/universal/scripts-compressed/performance-a7ffd8cea277327c-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/performance-a7ffd8cea277327c-min.en-US.js	(from https://members.emptyfaces.com/)
16:15:56	225623/225623	---M-Z	200	added ('OK')	text/javascript	etag:%228dfb2b8a293efcc24f19fdc320f71d6c%22	http://assets.squarespace.com/universal/scripts-compressed/user-account-core-b681ea1466c80496-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/user-account-core-b681ea1466c80496-min.en-US.js	(from https://members.emptyfaces.com/)
16:16:01	727/727	---M--	200	added ('OK')	application/rss+xml	etag:W/%2269f5836dd2ab1e0dc67d5ed6fd59a6db%22	https://members.emptyfaces.com/members?format=rss	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/members.emptyfaces.com/membersa409	(from https://members.emptyfaces.com/)
16:16:04	521701/521701	---M-Z	200	added ('OK')	text/css	date:Sat,%2031%20May%202025%2023:16:00%20GMT	https://static1.squarespace.com/static/sitecss/59fac3b364b05ffdd0f5c696/100/5af0e6d9352f5332c5093ddc/5af0e6d9352f5332c5093dde/0/site.css	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/static1.squarespace.com/static/sitecss/59fac3b364b05ffdd0f5c696/100/5af0e6d9352f5332c5093ddc/5af0e6d9352f5332c5093dde/0/site.css	(from https://members.emptyfaces.com/)
16:16:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2031%20May%202025%2023:16:04%20GMT	http://cdn.shopify.com/s/files/1/1792/2631/t/23/assets/jquery.countdown.min.js?17600055341721780060	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/cdn.shopify.com/s/files/1/1792/2631/t/23/assets/jquery.countdown.min.10c589.delayed	(from https://members.emptyfaces.com/)
16:16:06	5339/5339	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2010%20Apr%202025%2008:43:21%20GMT	https://cdn.shopify.com/s/files/1/1792/2631/t/23/assets/jquery.countdown.min.js?17600055341721780060	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/cdn.shopify.com/s/files/1/1792/2631/t/23/assets/jquery.countdown.minc589.js	(from https://members.emptyfaces.com/)
16:16:09	713890/713890	---M-Z	200	added ('OK')	text/javascript	etag:%228c5b0af9c6a8970d246f8f754cba0d0f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-1d072c85ca81eec1-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/common-vendors-1d072c85ca81eec1-min.en-US.js	(from https://members.emptyfaces.com/)
16:16:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2031%20May%202025%2023:16:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/www.googletagmanager.com/gtm.135445.delayed	(from https://members.emptyfaces.com/)
16:16:11	68192/68192	---MCZ	200	added ('OK')	text/javascript	etag:W/%2242173d90e06d35e3cae45d0c217c2004%22	https://www.usefomo.com/api/v1/EvuDrlqBzU4cyxmhKnd7Ow/load.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/www.usefomo.com/api/v1/EvuDrlqBzU4cyxmhKnd7Ow/load.js	(from https://members.emptyfaces.com/)
16:16:14	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://members.emptyfaces.com/)
16:16:18	1087318/1087318	---M-Z	200	added ('OK')	text/javascript	etag:%22966cf96a53e46f0079b9a9e3f4a1e935%22	http://assets.squarespace.com/universal/scripts-compressed/common-f88392418d962158-min.en-US.js	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/assets.squarespace.com/universal/scripts-compressed/common-f88392418d962158-min.en-US.js	(from https://members.emptyfaces.com/)
16:16:18	107/107	---M--	200	added ('OK')	text/css	etag:%22f35d738d9565e65328fa909f074ff6e4%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/179dffa7-d94b-4154-a45c-99e57a488229_22/website.components.spacer.styles.css	C:/Users/Rowan/Documents/MyWebFiles/Empty_Faces/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/179dffa7-d94b-4154-a45c-99e57a488229_22/website.components.spacer.styles.css	(from https://members.emptyfaces.com/)
